Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2,2013-01-01,3697,354,1,1,c,0
1,3,2013-01-02,5704,621,1,1,0,0
1,4,2013-01-03,5791,534,1,1,0,1
1,5,2013-01-04,4238,390,1,0,0,0
1,6,2013-01-05,3856,374,1,0,0,1
1,7,2013-01-06,1920,192,1,0,0,0
1,1,2013-01-07,5167,559,1,1,0,0
1,2,2013-01-08,4695,449,1,0,0,1
1,3,2013-01-09,4171,393,1,0,0,0
1,4,2013-01-10,4442,509,1,0,0,0
1,5,2013-01-11,5789,554,1,1,0,1
1,6,2013-01-12,3333,391,1,0,0,0
1,7,2013-01-13,0,0,0,0,0,0
1,1,2013-01-14,5202,480,1,0,0,1
1,2,2013-01-15,4461,506,1,0,0,0
1,3,2013-01-16,4040,454,1,0,0,0
1,4,2013-01-17,6105,557,1,1,0,1
1,5,2013-01-18,6223,581,1,1,0,0
1,6,2013-01-19,4182,381,1,1,0,1
1,7,2013-01-20,2525,232,1,0,0,0
1,1,2013-01-21,4719,434,1,0,0,0
1,2,2013-01-22,5416,615,1,0,0,0
1,3,2013-01-23,5213,519,1,1,0,1
1,4,2013-01-24,3747,375,1,0,0,0
1,5,2013-01-25,7158,789,1,1,0,0
1,6,2013-01-26,3386,334,1,0,0,0
1,7,2013-01-27,0,0,0,0,0,0
1,1,2013-01-28,5040,487,1,0,0,1
1,2,2013-01-29,4500,428,1,0,0,0
1,3,2013-01-30,4771,549,1,0,0,0
1,4,2013-01-31,6025,674,1,1,0,1
1,5,2013-02-01,4577,433,1,0,0,0
1,6,2013-02-02,4914,491,1,1,0,0
1,7,2013-02-03,0,0,0,1,0,0
1,1,2013-02-04,5203,560,1,0,0,0
1,2,2013-02-05,4494,444,1,0,0,0
1,3,2013-02-06,0,0,0,1,0,0
1,4,2013-02-07,5431,512,1,1,0,0
1,5,2013-02-08,4368,397,1,0,0,0
1,6,2013-02-09,3409,391,1,0,0,0
1,7,2013-02-10,2429,271,1,0,0,0
1,1,2013-02-11,5451,590,1,1,0,0
1,2,2013-02-12,3568,409,1,0,0,0
1,3,2013-02-13,4722,466,1,0,0,0
1,4,2013-02-14,4711,500,1,0,0,0
1,5,2013-02-15,6457,665,1,1,0,0
1,6,2013-02-16,3584,332,1,0,0,0
1,7,2013-02-17,2979,313,1,1,0,0
1,1,2013-02-18,4727,505,1,0,0,0
1,2,2013-02-19,5690,591,1,1,0,0
1,3,2013-02-20,4640,504,1,0,0,0
1,4,2013-02-21,4001,398,1,0,0,0
1,5,2013-02-22,5105,495,1,0,0,0
